0	302545.5074	2786369.633
1	307847.092	2785988.138
2	297040.229	2781677.367
3	297035.997	2781684.998
4	297358.104	2782098.449
5	297471.832	2782194.178
6	296000.59	2780235.222
7	295999.7957	2780236.026
8	296006.615	2780248.845
9	297712.1947	2782442.678
10	297714.49	2782437.883
11	297711.372	2782432.412
12	297038.0855	2781693.758
13	310080.209	2781040.273
14	309961.284	2781327.622
15	306182.996	2787070.997
16	306402.996	2787345.004
17	305969.999	2786941.004
18	304651.673	2782889.188
19	304557.123	2783096.409
20	304551.646	2782866.446
21	304642.633	2782876.187
22	304934.509	2783279.597
23	304625.007	2782846.034
24	304455	2782613
25	304615.999	2782637.003
26	304556.999	2782578.997
27	304597.003	2782554.004
28	304561.997	2782606
29	304581.562	2782686.928
30	304491.227	2782759.695
31	304408.215	2782717.731
32	304356.003	2782972.996
33	304462.168	2782975.107
34	304227.997	2782954.005
35	304239.71	2782857.645
36	304278.997	2783430.002
37	304535.149	2783561.605
38	304255.002	2783440.003
39	304129	2783884.998
40	304146	2783521.001
41	304260.157	2783451.274
42	304397.352	2783387.088
43	304345.998	2785804
44	305854.002	2784834.003
45	305875.003	2785877.997
46	305335.998	2785766.996
47	304326.004	2785666.996
48	305423.694	2786570.777
49	305504.586	2786328.462
50	304384.996	2786087.998
51	304225.003	2783289.998
52	303800.32	2782885.478
53	303542.996	2783016.001
54	304204.506	2783314.631
55	303820.999	2783284.998
56	303575.998	2783461.995
57	303357.656	2782316.511
58	303696.003	2781900.999
59	303604.999	2782199.999
60	303332.622	2782352.344
61	303288.997	2782635.003
62	303320.002	2782668.996
63	304126.468	2782920.731
64	303260.556	2782422.201
65	303249.099	2782452.204
66	303133.004	2782662.995
67	302987	2782573.997
68	302665.999	2782458.005
69	302335.999	2780591.998
70	302314.001	2780483.997
71	302424.999	2780643.003
72	302466.999	2780860.005
73	302458.998	2780787.998
74	302478.423	2781164.675
75	303185.001	2781953.004
76	303021.28	2781426.262
77	302427.003	2781357.005
